annotator_id,media,file,batch,qs_id,phase,q_in_set,question_text,answer_option,source_file,correct_option,is_correct
7,news,a1,1,5,post,6,2,1.0,a1.csv,2.0,False
7,news,a1,1,6,pre,1,1,3.0,a1.csv,2.0,False
7,news,a1,1,6,pre,2,3,3.0,a1.csv,1.0,False
7,news,a1,1,6,pre,3,5,5.0,a1.csv,2.0,False
7,news,a1,1,6,pre,4,7,7.0,a1.csv,2.0,False
7,news,a1,1,6,pre,5,5,5.0,a1.csv,1.0,False
7,news,a1,1,6,pre,6,5,5.0,a1.csv,1.0,False
7,news,a1,1,6,post,1,1,1.0,a1.csv,2.0,False
7,news,a1,1,6,post,2,2,2.0,a1.csv,1.0,False
7,news,a1,1,6,post,3,2,2.0,a1.csv,2.0,True
7,news,a1,1,6,post,4,4,4.0,a1.csv,2.0,False
7,news,a1,1,6,post,5,5,2.0,a1.csv,1.0,False
7,news,a1,1,6,post,6,5,3.0,a1.csv,1.0,False
7,news,a1,1,7,pre,1,3,1.0,a1.csv,1.0,True
7,news,a1,1,7,pre,2,3,1.0,a1.csv,2.0,False
7,news,a1,1,7,pre,3,5,5.0,a1.csv,3.0,False
7,news,a1,1,7,pre,4,5,5.0,a1.csv,3.0,False
7,news,a1,1,7,pre,5,5,5.0,a1.csv,2.0,False
7,news,a1,1,7,pre,6,5,5.0,a1.csv,2.0,False
7,news,a1,1,7,post,1,1,2.0,a1.csv,1.0,False
7,news,a1,1,7,post,2,1,1.0,a1.csv,2.0,False
7,news,a1,1,7,post,3,2,2.0,a1.csv,3.0,False
7,news,a1,1,7,post,4,2,2.0,a1.csv,3.0,False
7,news,a1,1,7,post,5,1,1.0,a1.csv,2.0,False
7,news,a1,1,7,post,6,1,5.0,a1.csv,2.0,False
7,news,a1,1,8,pre,1,1,3.0,a1.csv,1.0,False
7,news,a1,1,8,pre,2,2,2.0,a1.csv,1.0,False
7,news,a1,1,8,pre,3,5,4.0,a1.csv,2.0,False
7,news,a1,1,8,pre,4,3,5.0,a1.csv,2.0,False
7,news,a1,1,8,pre,5,5,5.0,a1.csv,2.0,False
7,news,a1,1,8,pre,6,4,5.0,a1.csv,1.0,False
7,news,a1,1,8,post,1,1,1.0,a1.csv,1.0,True
7,news,a1,1,8,post,2,1,2.0,a1.csv,1.0,False
7,news,a1,1,8,post,3,1,2.0,a1.csv,2.0,True
7,news,a1,1,8,post,4,3,3.0,a1.csv,2.0,False
7,news,a1,1,8,post,5,2,4.0,a1.csv,2.0,False
7,news,a1,1,8,post,6,2,5.0,a1.csv,1.0,False
7,news,a1,1,9,pre,1,1,3.0,a1.csv,1.0,False
7,news,a1,1,9,pre,2,1,3.0,a1.csv,2.0,False
7,news,a1,1,9,pre,3,5,5.0,a1.csv,2.0,False
7,news,a1,1,9,pre,4,5,5.0,a1.csv,2.0,False
7,news,a1,1,9,pre,5,2,5.0,a1.csv,2.0,False
7,news,a1,1,9,pre,6,1,5.0,a1.csv,1.0,False
7,news,a1,1,9,post,1,1,1.0,a1.csv,1.0,True
7,news,a1,1,9,post,2,1,2.0,a1.csv,2.0,True
7,news,a1,1,9,post,3,5,3.0,a1.csv,2.0,False
7,news,a1,1,9,post,4,2,2.0,a1.csv,2.0,True
7,news,a1,1,9,post,5,2,2.0,a1.csv,2.0,True
7,news,a1,1,9,post,6,1,2.0,a1.csv,1.0,False
7,news,a1,1,10,pre,1,3,3.0,a1.csv,1.0,False
7,news,a1,1,10,pre,2,3,3.0,a1.csv,1.0,False
7,news,a1,1,10,pre,3,2,5.0,a1.csv,2.0,False
7,news,a1,1,10,pre,4,5,5.0,a1.csv,2.0,False
7,news,a1,1,10,pre,5,5,5.0,a1.csv,2.0,False
7,news,a1,1,10,pre,6,5,5.0,a1.csv,1.0,False
7,news,a1,1,10,post,1,1,1.0,a1.csv,1.0,True
7,news,a1,1,10,post,2,3,2.0,a1.csv,1.0,False
7,news,a1,1,10,post,3,2,2.0,a1.csv,2.0,True
7,news,a1,1,10,post,4,2,2.0,a1.csv,2.0,True
7,news,a1,1,10,post,5,2,4.0,a1.csv,2.0,False
7,news,a1,1,10,post,6,4,5.0,a1.csv,1.0,False
7,news,a1,1,11,pre,1,3,3.0,a1.csv,1.0,False
7,news,a1,1,11,pre,2,3,3.0,a1.csv,2.0,False
7,news,a1,1,11,pre,3,5,5.0,a1.csv,3.0,False
7,news,a1,1,11,pre,4,1,5.0,a1.csv,2.0,False
7,news,a1,1,11,pre,5,5,5.0,a1.csv,3.0,False
7,news,a1,1,11,pre,6,6,6.0,a1.csv,3.0,False
7,news,a1,1,11,post,1,1,1.0,a1.csv,1.0,True
7,news,a1,1,11,post,2,1,1.0,a1.csv,2.0,False
7,news,a1,1,11,post,3,2,1.0,a1.csv,3.0,False
7,news,a1,1,11,post,4,2,5.0,a1.csv,2.0,False
7,news,a1,1,11,post,5,2,2.0,a1.csv,3.0,False
7,news,a1,1,11,post,6,1,1.0,a1.csv,3.0,False
5,news,a1,1,2,pre,1,3,1.0,a1.csv,2.0,False
5,news,a1,1,2,pre,2,3,1.0,a1.csv,1.0,True
5,news,a1,1,2,pre,3,5,5.0,a1.csv,2.0,False
5,news,a1,1,2,pre,4,5,5.0,a1.csv,1.0,False
5,news,a1,1,2,pre,5,6,6.0,a1.csv,2.0,False
5,news,a1,1,2,pre,6,6,2.0,a1.csv,1.0,False
5,news,a1,1,2,post,1,2,1.0,a1.csv,2.0,False
5,news,a1,1,2,post,2,1,1.0,a1.csv,1.0,True
5,news,a1,1,2,post,3,4,2.0,a1.csv,2.0,True
5,news,a1,1,2,post,4,1,1.0,a1.csv,1.0,True
5,news,a1,1,2,post,5,3,1.0,a1.csv,2.0,False
5,news,a1,1,2,post,6,2,2.0,a1.csv,1.0,False
5,news,a1,1,3,pre,1,4,4.0,a1.csv,1.0,False
5,news,a1,1,3,pre,2,4,1.0,a1.csv,1.0,True
5,news,a1,1,3,pre,3,6,6.0,a1.csv,2.0,False
5,news,a1,1,3,pre,4,5,5.0,a1.csv,2.0,False
5,news,a1,1,3,pre,5,6,6.0,a1.csv,1.0,False
5,news,a1,1,3,pre,6,6,6.0,a1.csv,2.0,False
5,news,a1,1,3,post,1,2,2.0,a1.csv,1.0,False
5,news,a1,1,3,post,2,1,1.0,a1.csv,1.0,True
5,news,a1,1,3,post,3,2,2.0,a1.csv,2.0,True
5,news,a1,1,3,post,4,5,1.0,a1.csv,2.0,False
5,news,a1,1,3,post,5,6,2.0,a1.csv,1.0,False
5,news,a1,1,3,post,6,1,1.0,a1.csv,2.0,False
5,news,a1,1,4,pre,1,1,3.0,a1.csv,1.0,False
5,news,a1,1,4,pre,2,3,3.0,a1.csv,1.0,False
5,news,a1,1,4,pre,3,2,5.0,a1.csv,2.0,False
5,news,a1,1,4,pre,4,2,5.0,a1.csv,3.0,False
5,news,a1,1,4,pre,5,5,5.0,a1.csv,2.0,False
5,news,a1,1,4,pre,6,5,5.0,a1.csv,2.0,False
5,news,a1,1,4,post,1,1,1.0,a1.csv,1.0,True
5,news,a1,1,4,post,2,1,1.0,a1.csv,1.0,True
5,news,a1,1,4,post,3,2,2.0,a1.csv,2.0,True
5,news,a1,1,4,post,4,2,5.0,a1.csv,3.0,False
5,news,a1,1,4,post,5,1,5.0,a1.csv,2.0,False
5,news,a1,1,4,post,6,2,2.0,a1.csv,2.0,True
5,news,a1,1,5,pre,1,3,3.0,a1.csv,1.0,False
5,news,a1,1,5,pre,2,3,3.0,a1.csv,1.0,False
5,news,a1,1,5,pre,3,5,5.0,a1.csv,2.0,False
5,news,a1,1,5,pre,4,5,3.0,a1.csv,2.0,False
5,news,a1,1,5,pre,5,5,5.0,a1.csv,2.0,False
5,news,a1,1,5,pre,6,5,5.0,a1.csv,2.0,False
5,news,a1,1,5,post,1,1,1.0,a1.csv,1.0,True
5,news,a1,1,5,post,2,1,1.0,a1.csv,1.0,True
5,news,a1,1,5,post,3,2,2.0,a1.csv,2.0,True
5,news,a1,1,5,post,4,3,3.0,a1.csv,2.0,False
5,news,a1,1,5,post,5,4,5.0,a1.csv,2.0,False
5,news,a1,1,5,post,6,2,1.0,a1.csv,2.0,False
5,news,a1,1,6,pre,1,1,3.0,a1.csv,2.0,False
5,news,a1,1,6,pre,2,3,3.0,a1.csv,1.0,False
5,news,a1,1,6,pre,3,5,5.0,a1.csv,2.0,False
5,news,a1,1,6,pre,4,7,7.0,a1.csv,2.0,False
5,news,a1,1,6,pre,5,5,5.0,a1.csv,1.0,False
5,news,a1,1,6,pre,6,5,5.0,a1.csv,1.0,False
5,news,a1,1,6,post,1,1,1.0,a1.csv,2.0,False
5,news,a1,1,6,post,2,2,1.0,a1.csv,1.0,True
5,news,a1,1,6,post,3,2,2.0,a1.csv,2.0,True
5,news,a1,1,6,post,4,4,7.0,a1.csv,2.0,False
5,news,a1,1,6,post,5,5,5.0,a1.csv,1.0,False
5,news,a1,1,6,post,6,5,5.0,a1.csv,1.0,False
5,news,a1,1,7,pre,1,3,3.0,a1.csv,1.0,False
5,news,a1,1,7,pre,2,3,3.0,a1.csv,2.0,False
5,news,a1,1,7,pre,3,5,5.0,a1.csv,3.0,False
5,news,a1,1,7,pre,4,5,5.0,a1.csv,3.0,False
5,news,a1,1,7,pre,5,5,5.0,a1.csv,2.0,False
5,news,a1,1,7,pre,6,5,5.0,a1.csv,2.0,False
5,news,a1,1,7,post,1,1,2.0,a1.csv,1.0,False
5,news,a1,1,7,post,2,1,1.0,a1.csv,2.0,False
5,news,a1,1,7,post,3,2,2.0,a1.csv,3.0,False
5,news,a1,1,7,post,4,2,2.0,a1.csv,3.0,False
5,news,a1,1,7,post,5,1,1.0,a1.csv,2.0,False
5,news,a1,1,7,post,6,1,1.0,a1.csv,2.0,False
5,news,a1,1,8,pre,1,1,3.0,a1.csv,1.0,False
5,news,a1,1,8,pre,2,2,2.0,a1.csv,1.0,False
5,news,a1,1,8,pre,3,5,1.0,a1.csv,2.0,False
5,news,a1,1,8,pre,4,3,5.0,a1.csv,2.0,False
5,news,a1,1,8,pre,5,5,5.0,a1.csv,2.0,False
5,news,a1,1,8,pre,6,4,5.0,a1.csv,1.0,False
5,news,a1,1,8,post,1,1,2.0,a1.csv,1.0,False
5,news,a1,1,8,post,2,1,2.0,a1.csv,1.0,False
5,news,a1,1,8,post,3,1,1.0,a1.csv,2.0,False
5,news,a1,1,8,post,4,3,3.0,a1.csv,2.0,False
5,news,a1,1,8,post,5,2,2.0,a1.csv,2.0,True
5,news,a1,1,8,post,6,2,2.0,a1.csv,1.0,False
5,news,a1,1,9,pre,1,1,3.0,a1.csv,1.0,False
5,news,a1,1,9,pre,2,1,3.0,a1.csv,2.0,False
5,news,a1,1,9,pre,3,5,5.0,a1.csv,2.0,False
5,news,a1,1,9,pre,4,5,5.0,a1.csv,2.0,False
5,news,a1,1,9,pre,5,2,5.0,a1.csv,2.0,False
5,news,a1,1,9,pre,6,1,5.0,a1.csv,1.0,False
5,news,a1,1,9,post,1,1,3.0,a1.csv,1.0,False
5,news,a1,1,9,post,2,1,3.0,a1.csv,2.0,False
5,news,a1,1,9,post,3,5,5.0,a1.csv,2.0,False
5,news,a1,1,9,post,4,2,2.0,a1.csv,2.0,True
5,news,a1,1,9,post,5,2,5.0,a1.csv,2.0,False
5,news,a1,1,9,post,6,1,5.0,a1.csv,1.0,False
5,news,a1,1,10,pre,1,3,3.0,a1.csv,1.0,False
5,news,a1,1,10,pre,2,3,3.0,a1.csv,1.0,False
5,news,a1,1,10,pre,3,2,5.0,a1.csv,2.0,False
5,news,a1,1,10,pre,4,5,5.0,a1.csv,2.0,False
5,news,a1,1,10,pre,5,5,5.0,a1.csv,2.0,False
5,news,a1,1,10,pre,6,5,5.0,a1.csv,1.0,False
5,news,a1,1,10,post,1,1,1.0,a1.csv,1.0,True
5,news,a1,1,10,post,2,3,3.0,a1.csv,1.0,False
5,news,a1,1,10,post,3,2,5.0,a1.csv,2.0,False
5,news,a1,1,10,post,4,2,2.0,a1.csv,2.0,True
5,news,a1,1,10,post,5,2,5.0,a1.csv,2.0,False
5,news,a1,1,10,post,6,4,5.0,a1.csv,1.0,False
5,news,a1,1,11,pre,1,3,3.0,a1.csv,1.0,False
5,news,a1,1,11,pre,2,3,3.0,a1.csv,2.0,False
5,news,a1,1,11,pre,3,5,5.0,a1.csv,3.0,False
5,news,a1,1,11,pre,4,1,5.0,a1.csv,2.0,False
5,news,a1,1,11,pre,5,5,5.0,a1.csv,3.0,False
5,news,a1,1,11,pre,6,6,6.0,a1.csv,3.0,False
5,news,a1,1,11,post,1,1,1.0,a1.csv,1.0,True
5,news,a1,1,11,post,2,1,1.0,a1.csv,2.0,False
5,news,a1,1,11,post,3,2,2.0,a1.csv,3.0,False
5,news,a1,1,11,post,4,2,5.0,a1.csv,2.0,False
5,news,a1,1,11,post,5,2,2.0,a1.csv,3.0,False
5,news,a1,1,11,post,6,1,6.0,a1.csv,3.0,False
30,news,a1,1,2,pre,1,3,1.0,a1.csv,2.0,False
30,news,a1,1,2,pre,2,3,3.0,a1.csv,1.0,False
30,news,a1,1,2,pre,3,5,5.0,a1.csv,2.0,False
30,news,a1,1,2,pre,4,5,5.0,a1.csv,1.0,False
30,news,a1,1,2,pre,5,6,6.0,a1.csv,2.0,False
30,news,a1,1,2,pre,6,6,2.0,a1.csv,1.0,False
30,news,a1,1,2,post,1,2,2.0,a1.csv,2.0,True
30,news,a1,1,2,post,2,1,1.0,a1.csv,1.0,True
30,news,a1,1,2,post,3,4,2.0,a1.csv,2.0,True
30,news,a1,1,2,post,4,1,1.0,a1.csv,1.0,True
30,news,a1,1,2,post,5,3,1.0,a1.csv,2.0,False
30,news,a1,1,2,post,6,2,2.0,a1.csv,1.0,False
30,news,a1,1,3,pre,1,4,2.0,a1.csv,1.0,False
30,news,a1,1,3,pre,2,4,1.0,a1.csv,1.0,True
30,news,a1,1,3,pre,3,6,2.0,a1.csv,2.0,True
30,news,a1,1,3,pre,4,5,5.0,a1.csv,2.0,False
30,news,a1,1,3,pre,5,6,2.0,a1.csv,1.0,False
30,news,a1,1,3,pre,6,6,6.0,a1.csv,2.0,False
30,news,a1,1,3,post,1,2,2.0,a1.csv,1.0,False
30,news,a1,1,3,post,2,1,1.0,a1.csv,1.0,True
30,news,a1,1,3,post,3,2,2.0,a1.csv,2.0,True
30,news,a1,1,3,post,4,5,1.0,a1.csv,2.0,False
30,news,a1,1,3,post,5,6,2.0,a1.csv,1.0,False
30,news,a1,1,3,post,6,1,1.0,a1.csv,2.0,False
30,news,a1,1,4,pre,1,1,1.0,a1.csv,1.0,True
30,news,a1,1,4,pre,2,3,1.0,a1.csv,1.0,True
30,news,a1,1,4,pre,3,2,5.0,a1.csv,2.0,False
30,news,a1,1,4,pre,4,2,5.0,a1.csv,3.0,False
30,news,a1,1,4,pre,5,5,5.0,a1.csv,2.0,False
30,news,a1,1,4,pre,6,5,2.0,a1.csv,2.0,True
30,news,a1,1,4,post,1,1,1.0,a1.csv,1.0,True
30,news,a1,1,4,post,2,1,1.0,a1.csv,1.0,True
30,news,a1,1,4,post,3,2,2.0,a1.csv,2.0,True
30,news,a1,1,4,post,4,2,2.0,a1.csv,3.0,False
30,news,a1,1,4,post,5,1,1.0,a1.csv,2.0,False
30,news,a1,1,4,post,6,2,2.0,a1.csv,2.0,True
30,news,a1,1,5,pre,1,3,1.0,a1.csv,1.0,True
30,news,a1,1,5,pre,2,3,3.0,a1.csv,1.0,False
30,news,a1,1,5,pre,3,5,2.0,a1.csv,2.0,True
30,news,a1,1,5,pre,4,5,5.0,a1.csv,2.0,False
30,news,a1,1,5,pre,5,5,5.0,a1.csv,2.0,False
30,news,a1,1,5,pre,6,5,2.0,a1.csv,2.0,True
30,news,a1,1,5,post,1,1,1.0,a1.csv,1.0,True
30,news,a1,1,5,post,2,1,1.0,a1.csv,1.0,True
30,news,a1,1,5,post,3,2,2.0,a1.csv,2.0,True
30,news,a1,1,5,post,4,3,3.0,a1.csv,2.0,False
30,news,a1,1,5,post,5,4,2.0,a1.csv,2.0,True
30,news,a1,1,5,post,6,2,2.0,a1.csv,2.0,True
30,news,a1,1,6,pre,1,1,1.0,a1.csv,2.0,False
30,news,a1,1,6,pre,2,3,3.0,a1.csv,1.0,False
30,news,a1,1,6,pre,3,5,5.0,a1.csv,2.0,False
30,news,a1,1,6,pre,4,7,4.0,a1.csv,2.0,False
30,news,a1,1,6,pre,5,5,5.0,a1.csv,1.0,False
30,news,a1,1,6,pre,6,5,5.0,a1.csv,1.0,False
30,news,a1,1,6,post,1,1,1.0,a1.csv,2.0,False
30,news,a1,1,6,post,2,2,1.0,a1.csv,1.0,True
30,news,a1,1,6,post,3,2,2.0,a1.csv,2.0,True
30,news,a1,1,6,post,4,4,4.0,a1.csv,2.0,False
30,news,a1,1,6,post,5,5,2.0,a1.csv,1.0,False
30,news,a1,1,6,post,6,5,2.0,a1.csv,1.0,False
30,news,a1,1,7,pre,1,3,2.0,a1.csv,1.0,False
30,news,a1,1,7,pre,2,3,3.0,a1.csv,2.0,False
30,news,a1,1,7,pre,3,5,5.0,a1.csv,3.0,False
30,news,a1,1,7,pre,4,5,5.0,a1.csv,3.0,False
30,news,a1,1,7,pre,5,5,5.0,a1.csv,2.0,False
30,news,a1,1,7,pre,6,5,5.0,a1.csv,2.0,False
30,news,a1,1,7,post,1,1,2.0,a1.csv,1.0,False
30,news,a1,1,7,post,2,1,1.0,a1.csv,2.0,False
30,news,a1,1,7,post,3,2,2.0,a1.csv,3.0,False
30,news,a1,1,7,post,4,2,2.0,a1.csv,3.0,False
30,news,a1,1,7,post,5,1,1.0,a1.csv,2.0,False
30,news,a1,1,7,post,6,1,1.0,a1.csv,2.0,False
30,news,a1,1,8,pre,1,1,3.0,a1.csv,1.0,False
30,news,a1,1,8,pre,2,2,1.0,a1.csv,1.0,True
30,news,a1,1,8,pre,3,5,6.0,a1.csv,2.0,False
30,news,a1,1,8,pre,4,3,3.0,a1.csv,2.0,False
30,news,a1,1,8,pre,5,5,2.0,a1.csv,2.0,True
30,news,a1,1,8,pre,6,4,4.0,a1.csv,1.0,False
30,news,a1,1,8,post,1,1,1.0,a1.csv,1.0,True
30,news,a1,1,8,post,2,1,1.0,a1.csv,1.0,True
30,news,a1,1,8,post,3,1,6.0,a1.csv,2.0,False
30,news,a1,1,8,post,4,3,3.0,a1.csv,2.0,False
30,news,a1,1,8,post,5,2,2.0,a1.csv,2.0,True
30,news,a1,1,8,post,6,2,2.0,a1.csv,1.0,False
30,news,a1,1,9,pre,1,1,3.0,a1.csv,1.0,False
30,news,a1,1,9,pre,2,1,3.0,a1.csv,2.0,False
30,news,a1,1,9,pre,3,5,5.0,a1.csv,2.0,False
30,news,a1,1,9,pre,4,5,5.0,a1.csv,2.0,False
30,news,a1,1,9,pre,5,2,5.0,a1.csv,2.0,False
30,news,a1,1,9,pre,6,1,2.0,a1.csv,1.0,False
30,news,a1,1,9,post,1,1,1.0,a1.csv,1.0,True
30,news,a1,1,9,post,2,1,1.0,a1.csv,2.0,False
30,news,a1,1,9,post,3,5,1.0,a1.csv,2.0,False
30,news,a1,1,9,post,4,2,2.0,a1.csv,2.0,True
30,news,a1,1,9,post,5,2,2.0,a1.csv,2.0,True
30,news,a1,1,9,post,6,1,1.0,a1.csv,1.0,True
30,news,a1,1,10,pre,1,3,3.0,a1.csv,1.0,False
30,news,a1,1,10,pre,2,3,3.0,a1.csv,1.0,False
30,news,a1,1,10,pre,3,2,5.0,a1.csv,2.0,False
30,news,a1,1,10,pre,4,5,5.0,a1.csv,2.0,False
30,news,a1,1,10,pre,5,5,5.0,a1.csv,2.0,False
30,news,a1,1,10,pre,6,5,5.0,a1.csv,1.0,False
30,news,a1,1,10,post,1,1,1.0,a1.csv,1.0,True
30,news,a1,1,10,post,2,3,1.0,a1.csv,1.0,True
30,news,a1,1,10,post,3,2,2.0,a1.csv,2.0,True
30,news,a1,1,10,post,4,2,2.0,a1.csv,2.0,True
30,news,a1,1,10,post,5,2,2.0,a1.csv,2.0,True
30,news,a1,1,10,post,6,4,4.0,a1.csv,1.0,False
30,news,a1,1,11,pre,1,3,1.0,a1.csv,1.0,True
30,news,a1,1,11,pre,2,3,1.0,a1.csv,2.0,False
30,news,a1,1,11,pre,3,5,5.0,a1.csv,3.0,False
30,news,a1,1,11,pre,4,1,5.0,a1.csv,2.0,False
30,news,a1,1,11,pre,5,5,5.0,a1.csv,3.0,False
30,news,a1,1,11,pre,6,6,6.0,a1.csv,3.0,False
30,news,a1,1,11,post,1,1,1.0,a1.csv,1.0,True
30,news,a1,1,11,post,2,1,1.0,a1.csv,2.0,False
30,news,a1,1,11,post,3,2,2.0,a1.csv,3.0,False
30,news,a1,1,11,post,4,2,2.0,a1.csv,2.0,True
30,news,a1,1,11,post,5,2,2.0,a1.csv,3.0,False
30,news,a1,1,11,post,6,1,1.0,a1.csv,3.0,False
25,news,a1,1,2,pre,1,3,1.0,a1.csv,2.0,False
25,news,a1,1,2,pre,2,3,1.0,a1.csv,1.0,True
25,news,a1,1,2,pre,3,5,3.0,a1.csv,2.0,False
25,news,a1,1,2,pre,4,5,3.0,a1.csv,1.0,False
25,news,a1,1,2,pre,5,6,2.0,a1.csv,2.0,True
25,news,a1,1,2,pre,6,6,2.0,a1.csv,1.0,False
25,news,a1,1,2,post,1,2,2.0,a1.csv,2.0,True
25,news,a1,1,2,post,2,1,1.0,a1.csv,1.0,True
25,news,a1,1,2,post,3,4,2.0,a1.csv,2.0,True
25,news,a1,1,2,post,4,1,1.0,a1.csv,1.0,True
25,news,a1,1,2,post,5,3,1.0,a1.csv,2.0,False
25,news,a1,1,2,post,6,2,2.0,a1.csv,1.0,False
25,news,a1,1,3,pre,1,4,1.0,a1.csv,1.0,True
25,news,a1,1,3,pre,2,4,1.0,a1.csv,1.0,True
25,news,a1,1,3,pre,3,6,2.0,a1.csv,2.0,True
25,news,a1,1,3,pre,4,5,2.0,a1.csv,2.0,True
25,news,a1,1,3,pre,5,6,2.0,a1.csv,1.0,False
25,news,a1,1,3,pre,6,6,1.0,a1.csv,2.0,False
25,news,a1,1,3,post,1,2,2.0,a1.csv,1.0,False
25,news,a1,1,3,post,2,1,1.0,a1.csv,1.0,True
25,news,a1,1,3,post,3,2,2.0,a1.csv,2.0,True
25,news,a1,1,3,post,4,5,1.0,a1.csv,2.0,False
25,news,a1,1,3,post,5,6,2.0,a1.csv,1.0,False
25,news,a1,1,3,post,6,1,1.0,a1.csv,2.0,False
25,news,a1,1,4,pre,1,1,1.0,a1.csv,1.0,True
25,news,a1,1,4,pre,2,3,1.0,a1.csv,1.0,True
25,news,a1,1,4,pre,3,2,3.0,a1.csv,2.0,False
25,news,a1,1,4,pre,4,2,1.0,a1.csv,3.0,False
25,news,a1,1,4,pre,5,5,3.0,a1.csv,2.0,False
25,news,a1,1,4,pre,6,5,2.0,a1.csv,2.0,True
25,news,a1,1,4,post,1,1,1.0,a1.csv,1.0,True
25,news,a1,1,4,post,2,1,1.0,a1.csv,1.0,True
25,news,a1,1,4,post,3,2,2.0,a1.csv,2.0,True
25,news,a1,1,4,post,4,2,2.0,a1.csv,3.0,False
25,news,a1,1,4,post,5,1,1.0,a1.csv,2.0,False
25,news,a1,1,4,post,6,2,2.0,a1.csv,2.0,True
25,news,a1,1,5,pre,1,3,1.0,a1.csv,1.0,True
25,news,a1,1,5,pre,2,3,1.0,a1.csv,1.0,True
25,news,a1,1,5,pre,3,5,2.0,a1.csv,2.0,True
25,news,a1,1,5,pre,4,5,3.0,a1.csv,2.0,False
25,news,a1,1,5,pre,5,5,2.0,a1.csv,2.0,True
25,news,a1,1,5,pre,6,5,2.0,a1.csv,2.0,True
25,news,a1,1,5,post,1,1,1.0,a1.csv,1.0,True
25,news,a1,1,5,post,2,1,1.0,a1.csv,1.0,True
25,news,a1,1,5,post,3,2,2.0,a1.csv,2.0,True
25,news,a1,1,5,post,4,3,3.0,a1.csv,2.0,False
25,news,a1,1,5,post,5,4,2.0,a1.csv,2.0,True
25,news,a1,1,5,post,6,2,2.0,a1.csv,2.0,True
25,news,a1,1,6,pre,1,1,1.0,a1.csv,2.0,False
25,news,a1,1,6,pre,2,3,2.0,a1.csv,1.0,False
25,news,a1,1,6,pre,3,5,2.0,a1.csv,2.0,True
25,news,a1,1,6,pre,4,7,4.0,a1.csv,2.0,False
25,news,a1,1,6,pre,5,5,3.0,a1.csv,1.0,False
25,news,a1,1,6,pre,6,5,2.0,a1.csv,1.0,False
25,news,a1,1,6,post,1,1,1.0,a1.csv,2.0,False
25,news,a1,1,6,post,2,2,2.0,a1.csv,1.0,False
25,news,a1,1,6,post,3,2,2.0,a1.csv,2.0,True
25,news,a1,1,6,post,4,4,4.0,a1.csv,2.0,False
25,news,a1,1,6,post,5,5,2.0,a1.csv,1.0,False
25,news,a1,1,6,post,6,5,2.0,a1.csv,1.0,False
25,news,a1,1,7,pre,1,3,1.0,a1.csv,1.0,True
25,news,a1,1,7,pre,2,3,2.0,a1.csv,2.0,True
25,news,a1,1,7,pre,3,5,2.0,a1.csv,3.0,False
25,news,a1,1,7,pre,4,5,3.0,a1.csv,3.0,True
25,news,a1,1,7,pre,5,5,3.0,a1.csv,2.0,False
25,news,a1,1,7,pre,6,5,1.0,a1.csv,2.0,False
25,news,a1,1,7,post,1,1,2.0,a1.csv,1.0,False
25,news,a1,1,7,post,2,1,1.0,a1.csv,2.0,False
25,news,a1,1,7,post,3,2,2.0,a1.csv,3.0,False
25,news,a1,1,7,post,4,2,2.0,a1.csv,3.0,False
25,news,a1,1,7,post,5,1,1.0,a1.csv,2.0,False
25,news,a1,1,7,post,6,1,1.0,a1.csv,2.0,False
25,news,a1,1,8,pre,1,1,1.0,a1.csv,1.0,True
25,news,a1,1,8,pre,2,2,1.0,a1.csv,1.0,True
25,news,a1,1,8,pre,3,5,2.0,a1.csv,2.0,True
25,news,a1,1,8,pre,4,3,3.0,a1.csv,2.0,False
25,news,a1,1,8,pre,5,5,2.0,a1.csv,2.0,True
25,news,a1,1,8,pre,6,4,1.0,a1.csv,1.0,True
25,news,a1,1,8,post,1,1,1.0,a1.csv,1.0,True
25,news,a1,1,8,post,2,1,1.0,a1.csv,1.0,True
25,news,a1,1,8,post,3,1,1.0,a1.csv,2.0,False
25,news,a1,1,8,post,4,3,3.0,a1.csv,2.0,False
25,news,a1,1,8,post,5,2,2.0,a1.csv,2.0,True
25,news,a1,1,8,post,6,2,4.0,a1.csv,1.0,False
25,news,a1,1,9,pre,1,1,1.0,a1.csv,1.0,True
25,news,a1,1,9,pre,2,1,1.0,a1.csv,2.0,False
25,news,a1,1,9,pre,3,5,2.0,a1.csv,2.0,True
25,news,a1,1,9,pre,4,5,3.0,a1.csv,2.0,False
25,news,a1,1,9,pre,5,2,4.0,a1.csv,2.0,False
25,news,a1,1,9,pre,6,1,4.0,a1.csv,1.0,False
25,news,a1,1,9,post,1,1,1.0,a1.csv,1.0,True
25,news,a1,1,9,post,2,1,1.0,a1.csv,2.0,False
25,news,a1,1,9,post,3,5,2.0,a1.csv,2.0,True
25,news,a1,1,9,post,4,2,2.0,a1.csv,2.0,True
25,news,a1,1,9,post,5,2,2.0,a1.csv,2.0,True
25,news,a1,1,9,post,6,1,1.0,a1.csv,1.0,True
25,news,a1,1,10,pre,1,3,1.0,a1.csv,1.0,True
25,news,a1,1,10,pre,2,3,1.0,a1.csv,1.0,True
25,news,a1,1,10,pre,3,2,2.0,a1.csv,2.0,True
25,news,a1,1,10,pre,4,5,2.0,a1.csv,2.0,True
25,news,a1,1,10,pre,5,5,1.0,a1.csv,2.0,False
25,news,a1,1,10,pre,6,5,5.0,a1.csv,1.0,False
25,news,a1,1,10,post,1,1,2.0,a1.csv,1.0,False
